image_number,Penetration_depth (nm),Load (mN),E (GPa)
983,4171,649.953,71.43
984,4135,649.359,72.96
985,3892,649.623,79.01
986,4010,649.547,77.83
987,3992,649.523,77.04
988,4057,649.52,75.74
989,3999,699.757,73.89
990,4099,699.911,77.95
991,4198,699.498,75.97
992,4227,699.502,74.24
993,4266,699.398,75.66
994,4117,699.563,81.44
995,4178,699.368,77.36
996,4165,699.37,76.79
997,4245,699.939,73.3
998,4237,699.814,72.32
999,4204,699.459,74.39
1000,4327,699.519,71.98
