image,E(GPa),H(GPa),Load(N),InnerPixels,CrackLength(um),FractureToughness(Kc)
17.JPG,58.7,2.28,0.249787,3853,27.230684819321183,8919358.374722341
116.JPG,68.1,2.35,0.549271,5883,33.647940172926724,15149160.616851578
102.JPG,69.8,2.14,0.49955700000000003,5080,31.26733848327622,16318096.641603138
103.JPG,73.4,2.29,0.498917,5357,32.10849000938757,15524898.4404381
117.JPG,29.5,0.38,0.549566,3727,26.781737890272264,34936623.773314424
16.JPG,71.8,2.06,0.249579,5851,33.55630305932851,7580109.688873093
12.JPG,70.3,2.37,0.19972800000000002,4715,30.12311692166602,6579495.306096774
113.JPG,66.5,2.35,0.49961,4984,30.970489941453916,15420054.202671407
107.JPG,61.0,2.35,0.499349,5425,32.31163469687928,13851499.016812708
106.JPG,66.9,2.45,0.499808,5329,32.024467648510644,14411538.334932558
112.JPG,57.7,2.0,0.49912799999999996,6644,35.758053584686216,12537877.895654855
13.JPG,72.8,2.19,0.19987799999999997,4843,30.52926112046909,6831784.949599203
39.JPG,55.0,2.52,0.29948899999999995,4280,28.6999370041794,9099982.03345754
11.JPG,54.8,2.02,0.199852,4922,30.7772536404801,6096467.989822508
104.JPG,74.2,2.34,0.49980399999999997,6375,35.026694420512406,13576724.99502222
110.JPG,65.7,2.22,0.499847,4890,30.67704253638362,16003797.763575392
138.JPG,70.4,2.31,0.599362,4697,30.065562882826985,20070839.402777076
139.JPG,66.5,2.32,0.508367,4184,28.3762431521475,18005775.708525132
111.JPG,105.9,5.6,0.49988900000000003,5874,33.62219247867823,11150350.051228894
105.JPG,79.0,2.43,0.499287,6539,35.474372957723354,13473752.819258867
10.JPG,68.1,2.19,0.19977899999999998,4825,30.4724741848549,6622771.2797565255
38.JPG,75.2,2.56,0.299389,3354,25.4062512180369,12671087.652494071
21.JPG,80.1,2.02,0.24975299999999998,4355,28.950304674970294,10096516.95657169
35.JPG,65.7,2.16,0.299675,3771,26.939363176796874,11820213.89453139
108.JPG,74.9,2.53,0.49906,4403,29.109409906087766,17289534.79521899
120.JPG,79.9,2.73,0.549869,6404,35.106272582405005,14301257.335933525
134.JPG,66.8,2.26,0.330805,4516,29.480580137102397,11235749.250053497
135.JPG,73.9,2.34,0.599468,5430,32.326521421786516,18329129.303967964
121.JPG,84.0,2.41,0.549056,6528,35.44452264816985,15361161.876953166
109.JPG,77.2,2.12,0.49909,7289,37.453553957415856,13139536.232433967
34.JPG,72.0,2.2,0.299722,3819,27.110272825598667,12147102.537010683
20.JPG,61.7,2.32,0.24990700000000002,6479,35.31124652798116,6141966.413579297
36.JPG,69.7,2.42,0.299679,3554,26.15277459276504,12025090.7027564
22.JPG,61.6,1.83,0.249488,7190,37.198335247129044,6380125.425934917
137.JPG,74.4,3.18,0.599307,6602,35.64485225662517,13621565.708081365
123.JPG,76.4,2.43,0.5487329999999999,4326,28.85375345031284,19851857.382996466
122.JPG,78.3,2.66,0.548956,5526,32.611028745614426,15993033.61428496
136.JPG,65.0,2.08,0.599287,6406,35.111754083349076,16102046.576601587
23.JPG,64.8,2.27,0.249546,4585,29.704943383408054,8235350.616473853
37.JPG,73.2,2.05,0.299774,4584,29.701703845431968,11066251.287511429
33.JPG,72.3,2.13,0.299928,3802,27.049865825045888,12420774.740706092
27.JPG,69.6,1.95,0.299765,4392,29.073025196797328,11424386.863193957
132.JPG,60.2,2.09,0.549766,6006,33.99787109390279,14884196.532289073
126.JPG,65.7,2.28,0.549104,5417,32.2878016604837,16066162.434902534
127.JPG,75.8,2.15,0.549018,4253,28.609268281820132,21303052.16163119
133.JPG,69.2,2.51,0.549205,4852,30.55761501441751,17071492.292895235
26.JPG,82.8,2.6,0.299744,4553,29.60110231967928,10503091.931255111
32.JPG,70.0,1.77,0.299631,7748,38.614806683797774,7852687.828101562
18.JPG,76.0,2.35,0.24995900000000001,5026,31.100709814767132,8195702.623986734
24.JPG,64.1,2.0,0.29959399999999997,4129,28.18911883146855,11332477.821500832
30.JPG,70.3,2.04,0.299481,5691,33.09431160566299,9234254.203263408
