image_number,Penetration_depth (nm),Load (mN),H (GPa)
293,5137,773.884,2.34
294,5145,607.241,2.21
295,5124,513.113,1.82
296,5147,652.136,2.45
297,5034,849.242,1.85
298,4758,848.733,2.28
299,4761,848.909,2.31
300,4874,849.253,2.33
301,5041,849.24,2.25
302,5140,365.717,2.26
303,4742,848.649,2.28
304,5131,796.976,2.13
305,4544,848.459,2.08
306,5136,587.261,2.43
307,5155,741.179,1.94
308,4856,848.579,2.44
309,5157,766.705,2.45
310,4722,849.733,2.24
311,4905,849.808,1.92
312,5132,832.605,2.34
313,5139,536.729,2.06
314,4646,849.254,2.16
315,4653,848.529,2.61
316,5144,431.588,2
317,5139,557.379,2.22
318,5130,868.231,2.18
319,4968,899.078,2.28
320,4865,899.189,2.4
321,4911,899.193,2.39
322,4856,899.31,2.35
323,5154,596.871,2.38
324,5157,671.474,2.12
325,4983,899.197,3.76
326,5143,838.211,2.33
327,4920,898.478,2.29
328,4948,899.01,2.08
329,5143,724.348,2.31
330,5142,521.322,2.26
331,5156,394.827,1.9
332,5143,443.459,1.93
333,5151,853.024,1.87
334,4958,898.474,2.21
335,4858,899.145,2.13
336,5152,868.724,2.26
337,5125,763.556,2.2
338,4762,899.859,2.24
339,4807,899.023,2.41
340,4841,899.757,2.59
341,5148,325.062,2.62
342,5143,745.993,2.06
343,5115,943.837,2.33
344,5125,519.147,2.45
345,5145,757.433,2
346,5127,941.658,2.29
347,5142,618.714,2.32
348,5137,521.79,2.16
349,4915,949.917,2.33
350,4950,949.949,2.56
351,4959,948.447,2.29
352,5151,834.249,2.48
353,5148,519.137,2.17
354,4876,949.815,2.09
355,5123,940.564,2.32
356,5120,948.044,2.16
357,5035,949.441,2.17
358,5110,948.686,2.43
359,5160,940.667,2.13
360,5155,697.939,2.26
361,5147,331.646,1.89
362,5122,445.79,2.09
363,5155,860.885,2.31
364,5134,853.823,2.21
365,5120,968.784,2.43
366,5148,529.262,1.92
367,5146,702.606,2.06
368,5135,963.86,2.39
369,5122,779.028,0.63
370,5126,896.045,2.13
371,5118,989.487,1.88
372,5084,999.014,2.42
373,5158,868.332,2.15
374,5126,640.232,2.04
375,5135,497.626,2.11
376,5124,952.242,2.18
377,5130,943.43,2.1
378,5187,781.881,2.43
379,5108,999.251,2.37
380,5032,999.894,2.55
381,5157,709.421,2.33
382,5138,734.965,2.08
383,5027,999.87,2.16
384,5134,949.68,2.27
385,5131,778.848,2.65
386,3138,399.728,2.26
387,3156,399.545,2.22
388,3296,399.578,2.03
389,2994,399.574,2.46
390,3142,399.702,2.27
391,3171,399.989,2.2
392,3164,399.803,2.24
393,3109,399.855,2.3
394,3084,399.53,2.35
395,3144,399.998,2.25
396,3096,399.463,2.33
397,3058,399.612,2.37
398,3042,399.589,2.42
399,3192,399.679,2.15
400,3145,399.97,2.22
401,3099,399.559,2.32
402,3126,399.916,2.26
403,3208,399.919,2.13
404,3082,399.681,2.34
405,3128,399.607,2.28
406,3066,399.865,2.4
407,3140,399.867,2.29
408,3083,399.663,2.35
409,3267,399.919,2.09
410,3096,399.591,2.36
411,3210,399.807,2.15
412,3151,399.599,2.21
413,3161,399.846,2.27
414,3277,449.948,2.35
415,3334,449.809,2.25
416,3321,449.647,2.25
417,3240,449.951,2.41
